ID,Name,Poster,NumTracks,TopTracks,Likes,Reposts,PostedTime,Genre,Length
P1559,folk,U9518,124,"['T13232', 'T13233', 'T13234', 'T13235', 'T13236', 'T13237', 'T13238', 'T13239', 'T13240', 'T13241']",281,11,27 May 2020,folk,3:26:22
P1560,folk,U9525,136,"['T13242', 'T13243', 'T13244', 'T13245', 'T13246', 'T13247', 'T13248', 'T13249', 'T13250', 'T13251']",2,6,25 May 2019,folk,2:31:12
P1561,pop,U9535,437,"['T13252', 'T13253', 'T13254', 'T13255', 'T13256', 'T13257', 'T13258', 'T13259', 'T13260', 'T13261']",38,1,4 September 2018,pop,48:21:32
P1562,pop,U9546,489,"['T13262', 'T13263', 'T13264', 'T13265', 'T13266', 'T13267', 'T13268', 'T13269', 'T13270', 'T13271']",4,1,4 August 2021,pop,3:05:50
P1563,pop,U9556,435,"['T13272', 'T13273', 'T13274', 'T13275', 'T13276', 'T13277', 'T5983', 'T13278', 'T13279', 'T13280']",999,87,26 September 2017,pop,52:15
P1564,Pop,U9560,33,"['T13281', 'T13282', 'T13283', 'T13284', 'T13285', 'T13286', 'T13287', 'T13288', 'T13289', 'T13290']",8997,573,16 May 2020,pop,1:32:34
P1565,pop,U9563,500,"['T13291', 'T13292', 'T13293', 'T13294', 'T13295', 'T13296', 'T13297', 'T13298', 'T6620', 'T13299']",13,9,12 September 2019,pop,3:33:12
P1566,pop,U9572,395,"['T13300', 'T11363', 'T13301', 'T13302', 'T13303', 'T13304', 'T13305', 'T13306', 'T13307', 'T13308']",22,1,21 September 2018,pop,3:14:05
P1567,Pop,U3608,500,"['T13309', 'T13310', 'T13311', 'T13312', 'T13313', 'T13314', 'T13315', 'T13316', 'T13317', 'T13318']",5,2,22 October 2022,pop,1:21:21
P1568,pop,U9587,430,"['T13319', 'T13320', 'T13321', 'T13322', 'T12927', 'T10682', 'T10427', 'T13323', 'T13324', 'T13325']",7,16,24 August 2019,pop,3:30:51
P1569,Essential New Music: New + Now,U9595,86,"['T3631', 'T13326', 'T13327', 'T13328', 'T13329', 'T3466', 'T13330', 'T13331', 'T13332', 'T13333']",16582,515,24 May 2019,pop,2:07:32
P1570,pop,U9599,422,"['T13334', 'T13335', 'T13336', 'T13337', 'T13338', 'T13339', 'T13340', 'T13341', 'T13342', 'T13343']",5,197,24 January 2019,pop,3:08:23
P1571,pop,U9608,449,"['T13344', 'T13345', 'T13346', 'T13347', 'T13348', 'T13349', 'T13350', 'T13351', 'T13352', 'T13353']",1,2,1 July 2017,pop,3:46:45
P1572,pop,U9619,430,"['T13354', 'T13355', 'T13356', 'T13357', 'T13358', 'T13359', 'T92', 'T13360', 'T13361', 'T13362']",2,4,17 December 2017,pop,4:06:01
P1573,Pop,U9629,16,"['T13363', 'T13364', 'T13365', 'T13366', 'T13367', 'T13368', 'T13369', 'T13370', 'T13371', 'T13372']",1,1,19 November 2022,pop,8:00
P1574,POP,U9638,393,"['T13373', 'T13374', 'T13375', 'T13376', 'T13377', 'T13378', 'T13256', 'T13379', 'T13380', 'T13381']",2,None,12 November 2016,pop,5:44:40
P1575,pop,U9648,447,"['T13382', 'T13383', 'T13384', 'T13385', 'T13386', 'T13387', 'T13388', 'T11266', 'T13389', 'T13390']",7,2,12 April 2018,pop,3:12:14
P1576,Pop,U9656,497,"['T13391', 'T13392', 'T13393', 'T13394', 'T13395', 'T13396', 'T13397', 'T13398', 'T13399', 'T13400']",3,55,17 October 2022,pop,29:05:01
P1577,pop,U9661,484,"['T13401', 'T13402', 'T5417', 'T5688', 'T13403', 'T13404', 'T5900', 'T13405', 'T13406', 'T13407']",186,24,8 November 2013,pop,1:03:01
P1578,pop,U9663,327,"['T13408', 'T13409', 'T13410', 'T13411', 'T13412', 'T13413', 'T13414', 'T13415', 'T13416', 'T13417']",10,2,27 October 2017,pop,3:22:20
P1579,pop,U9674,458,"['T13418', 'T13419', 'T13420', 'T13421', 'T13422', 'T13423', 'T13424', 'T13425', 'T13426', 'T13427']",3,7,12 July 2022,pop,3:39:50
P1580,pop,U9685,57,"['T13428', 'T13429', 'T13430', 'T13431', 'T13432', 'T13433', 'T13434', 'T13435', 'T13436', 'T13437']",3,2,24 May 2017,pop,3:31:37
P1579,pop,U9674,458,"['T13418', 'T13419', 'T13420', 'T13421', 'T13422', 'T13423', 'T13424', 'T13425', 'T13426', 'T13427']",3,7,12 July 2022,pop,3:39:50
